nameWithOwner,url,createdAt,stargazers,releases,loc,cbo,dit,lcom
yangfuhai/ASimpleCache,https://github.com/yangfuhai/ASimpleCache,2013-07-28T13:50:59Z,3668,0,1993,2.0,3.0,0.0
apache/nifi,https://github.com/apache/nifi,2014-12-12T08:00:05Z,3662,0,687058,4.0,12.0,1.0
linyiqun/DataMiningAlgorithm,https://github.com/linyiqun/DataMiningAlgorithm,2015-01-11T02:50:28Z,3661,0,11663,2.0,3.0,0.0
apache/incubator-heron,https://github.com/apache/incubator-heron,2015-09-25T16:09:24Z,3649,56,70465,4.0,9.0,1.0
h2database/h2database,https://github.com/h2database/h2database,2015-04-10T19:09:09Z,3640,18,226860,4.0,35.0,3.0
knowm/XChange,https://github.com/knowm/XChange,2012-02-02T10:48:28Z,3632,0,156090,4.0,8.0,0.0
crate/crate,https://github.com/crate/crate,2013-04-10T09:17:16Z,3628,59,439140,5.0,14.0,1.0
litesuits/android-common,https://github.com/litesuits/android-common,2014-05-29T08:08:00Z,3626,0,6519,2.0,4.0,1.0
Ereza/CustomActivityOnCrash,https://github.com/Ereza/CustomActivityOnCrash,2014-07-04T19:46:21Z,3622,12,893,4.0,2.0,0.0
oshi/oshi,https://github.com/oshi/oshi,2012-02-10T12:46:48Z,3621,138,31259,4.0,19.0,1.0
rockerhieu/emojicon,https://github.com/rockerhieu/emojicon,2014-01-18T12:32:38Z,3607,2,2971,4.0,4.0,0.0
Atmosphere/atmosphere,https://github.com/Atmosphere/atmosphere,2010-06-30T14:26:23Z,3607,0,41883,4.0,9.0,1.0
jindrapetrik/jpexs-decompiler,https://github.com/jindrapetrik/jpexs-decompiler,2014-05-10T17:20:56Z,3607,146,278646,3.0,111.0,1.0
tyrantgit/ExplosionField,https://github.com/tyrantgit/ExplosionField,2015-09-23T11:34:50Z,3589,0,343,2.0,2.0,0.0
osmandapp/OsmAnd,https://github.com/osmandapp/OsmAnd,2011-01-15T19:59:44Z,3583,1,598367,4.0,121.0,1.0
kikoso/android-stackblur,https://github.com/kikoso/android-stackblur,2013-08-15T14:44:32Z,3582,0,933,0.0,4.0,0.0
dongjunkun/DropDownMenu,https://github.com/dongjunkun/DropDownMenu,2015-06-23T07:43:56Z,3581,2,513,3.0,2.0,0.0
zendesk/maxwell,https://github.com/zendesk/maxwell,2015-02-09T22:06:13Z,3578,198,17374,4.0,4.0,0.0
johncarl81/parceler,https://github.com/johncarl81/parceler,2013-07-03T02:53:01Z,3573,0,10156,3.0,23.0,0.0
promeG/TinyPinyin,https://github.com/promeG/TinyPinyin,2015-09-30T03:24:50Z,3566,2,1399,1.0,3.0,0.0
DV8FromTheWorld/JDA,https://github.com/DV8FromTheWorld/JDA,2015-12-12T13:57:32Z,3557,69,52722,6.0,6.0,3.0
jacoco/jacoco,https://github.com/jacoco/jacoco,2012-07-08T21:45:13Z,3550,44,33301,3.0,7.0,0.0
lsjwzh/RecyclerViewPager,https://github.com/lsjwzh/RecyclerViewPager,2015-01-17T18:30:34Z,3544,10,2735,2.0,4.0,0.0
luontola/retrolambda,https://github.com/luontola/retrolambda,2013-07-20T07:25:22Z,3542,0,4848,1.0,7.0,0.0
arimorty/floatingsearchview,https://github.com/arimorty/floatingsearchview,2015-11-22T02:38:32Z,3534,0,4170,2.0,3.0,0.0
JakeWharton/ThreeTenABP,https://github.com/JakeWharton/ThreeTenABP,2015-07-03T17:35:09Z,3524,0,117,4.0,2.0,0.0
killme2008/aviatorscript,https://github.com/killme2008/aviatorscript,2011-03-29T12:48:47Z,3524,49,36326,4.0,5.0,1.0
apache/maven,https://github.com/apache/maven,2009-05-21T03:22:03Z,3523,5,71767,4.0,22.0,1.0
davideas/FlexibleAdapter,https://github.com/davideas/FlexibleAdapter,2015-05-02T22:00:43Z,3517,30,15853,4.0,8.0,1.0
baoyongzhang/SwipeMenuListView,https://github.com/baoyongzhang/SwipeMenuListView,2014-08-24T15:40:45Z,3514,2,1347,2.0,4.0,1.0
eclipse/jetty.project,https://github.com/eclipse/jetty.project,2011-07-14T01:11:57Z,3514,61,394577,4.0,30.0,0.0
dropbox/hackpad,https://github.com/dropbox/hackpad,2015-08-14T02:32:17Z,3503,0,87731,3.0,11.0,1.0
MovingBlocks/Terasology,https://github.com/MovingBlocks/Terasology,2011-03-04T03:49:19Z,3477,69,114299,4.0,14.0,0.0
linkedin/databus,https://github.com/linkedin/databus,2012-12-17T17:49:17Z,3474,0,124341,3.0,15.0,0.0
code4craft/netty-learning,https://github.com/code4craft/netty-learning,2013-09-19T02:24:25Z,3470,0,68759,4.0,14.0,1.0
openhab/openhab1-addons,https://github.com/openhab/openhab1-addons,2013-09-20T20:28:43Z,3451,14,359292,3.0,41.0,0.0
ikarus23/MifareClassicTool,https://github.com/ikarus23/MifareClassicTool,2013-02-12T15:39:03Z,3449,2,6514,9.0,3.0,3.0
apache/kylin,https://github.com/apache/kylin,2015-01-03T08:00:05Z,3439,0,128075,3.0,7.0,1.0
googlemaps/android-maps-utils,https://github.com/googlemaps/android-maps-utils,2013-05-17T00:08:48Z,3432,32,12045,5.0,6.0,1.0
yigit/android-priority-jobqueue,https://github.com/yigit/android-priority-jobqueue,2014-06-20T00:12:45Z,3410,0,14102,3.0,11.0,0.0
avast/android-butterknife-zelezny,https://github.com/avast/android-butterknife-zelezny,2013-12-23T14:24:08Z,3407,8,1626,3.0,7.0,0.0
alamkanak/Android-Week-View,https://github.com/alamkanak/Android-Week-View,2014-09-17T10:07:12Z,3388,4,2003,2.0,3.0,0.0
vert-x3/vertx-examples,https://github.com/vert-x3/vertx-examples,2015-02-24T17:42:44Z,3385,0,10175,5.0,2.0,1.0
abel533/MyBatis-Spring-Boot,https://github.com/abel533/MyBatis-Spring-Boot,2015-12-19T09:57:22Z,3357,0,396,4.5,2.0,0.0
hmkcode/Android,https://github.com/hmkcode/Android,2013-09-02T16:12:28Z,3357,0,1387,4.5,3.0,1.0
awaitility/awaitility,https://github.com/awaitility/awaitility,2010-01-22T15:12:52Z,3346,0,5233,1.0,4.0,0.0
ivacf/archi,https://github.com/ivacf/archi,2015-09-11T16:13:34Z,3346,0,2029,3.5,2.0,0.0
VaughnVernon/IDDD_Samples,https://github.com/VaughnVernon/IDDD_Samples,2013-04-08T22:12:57Z,3344,0,28475,3.0,12.0,5.0
jMonkeyEngine/jmonkeyengine,https://github.com/jMonkeyEngine/jmonkeyengine,2014-03-20T22:29:28Z,3343,54,193074,3.0,10.0,0.0
spockframework/spock,https://github.com/spockframework/spock,2010-12-12T19:02:34Z,3338,21,21142,3.0,18.0,1.0
diffplug/spotless,https://github.com/diffplug/spotless,2015-04-27T19:10:58Z,3322,0,30294,4.0,18.0,1.0
shekhargulati/99-problems,https://github.com/shekhargulati/99-problems,2015-11-22T05:56:33Z,3316,0,2057,2.0,1.0,0.0
fyhertz/libstreaming,https://github.com/fyhertz/libstreaming,2013-01-30T21:24:47Z,3312,0,6798,2.0,5.0,0.0
actorapp/actor-platform,https://github.com/actorapp/actor-platform,2015-06-21T00:29:57Z,3309,97,134425,3.0,6.0,0.0
undertow-io/undertow,https://github.com/undertow-io/undertow,2012-07-19T00:52:44Z,3308,0,155855,3.0,16.0,0.0
kevinsawicki/http-request,https://github.com/kevinsawicki/http-request,2011-10-21T19:54:58Z,3295,0,4876,2.0,9.0,0.0
react-native-share/react-native-share,https://github.com/react-native-share/react-native-share,2015-09-30T02:27:34Z,3291,97,1664,3.0,3.0,8.0
anggrayudi/android-hidden-api,https://github.com/anggrayudi/android-hidden-api,2015-09-16T11:58:33Z,3275,1,480,8.5,1.0,0.5
dingjikerbo/Android-BluetoothKit,https://github.com/dingjikerbo/Android-BluetoothKit,2015-10-08T09:07:33Z,3247,0,8347,2.0,3.0,0.0
immutables/immutables,https://github.com/immutables/immutables,2013-07-07T13:48:23Z,3242,9,67228,3.0,21.0,0.0
ragunathjawahar/android-saripaar,https://github.com/ragunathjawahar/android-saripaar,2012-09-08T11:52:30Z,3233,3,4723,3.0,5.0,0.0
FasterXML/jackson-databind,https://github.com/FasterXML/jackson-databind,2011-12-23T07:17:41Z,3231,0,148856,2.0,45.0,0.0
tangqi92/Android-Tips,https://github.com/tangqi92/Android-Tips,2015-09-10T09:01:47Z,3230,0,177,0.0,1.0,1.0
watabou/pixel-dungeon,https://github.com/watabou/pixel-dungeon,2014-07-26T17:34:32Z,3229,0,38623,4.0,13.0,1.0
bluelinelabs/LoganSquare,https://github.com/bluelinelabs/LoganSquare,2015-02-17T03:24:12Z,3227,0,6892,3.0,5.0,0.0
WritingMinds/ffmpeg-android-java,https://github.com/WritingMinds/ffmpeg-android-java,2014-09-11T10:12:09Z,3226,8,1306,1.0,3.0,1.0
eishay/jvm-serializers,https://github.com/eishay/jvm-serializers,2010-04-25T03:12:00Z,3219,0,31287,5.0,10.0,1.0
bauerca/drag-sort-listview,https://github.com/bauerca/drag-sort-listview,2012-06-01T06:32:13Z,3206,0,4301,2.0,6.0,0.0
daimajia/AndroidViewHover,https://github.com/daimajia/AndroidViewHover,2014-08-08T12:04:43Z,3202,4,712,2.0,3.0,1.0
pengjianbo/GalleryFinal,https://github.com/pengjianbo/GalleryFinal,2015-09-21T07:01:17Z,3198,4,7997,3.0,5.0,1.0
jfinal/jfinal,https://github.com/jfinal/jfinal,2012-04-25T08:48:48Z,3191,0,31852,3.0,9.0,1.0
aragozin/jvm-tools,https://github.com/aragozin/jvm-tools,2012-04-28T09:28:32Z,3187,0,32343,3.0,9.0,0.0
alibaba/cobar,https://github.com/alibaba/cobar,2014-01-15T11:20:09Z,3184,1,63193,3.0,9.0,1.0
JCTools/JCTools,https://github.com/JCTools/JCTools,2013-11-10T18:04:40Z,3181,16,34705,3.0,18.0,0.0
angryip/ipscan,https://github.com/angryip/ipscan,2011-06-28T20:58:48Z,3181,30,12563,3.0,24.0,0.0
Red5/red5-server,https://github.com/Red5/red5-server,2013-11-19T05:04:10Z,3179,73,60726,3.0,6.0,1.0
chrisbanes/ActionBar-PullToRefresh,https://github.com/chrisbanes/ActionBar-PullToRefresh,2013-06-04T14:44:53Z,3176,0,3717,5.0,4.0,1.0
camunda/camunda-bpm-platform,https://github.com/camunda/camunda-bpm-platform,2013-01-03T10:10:31Z,3175,0,527521,4.0,22.0,1.0
amulyakhare/TextDrawable,https://github.com/amulyakhare/TextDrawable,2014-10-19T09:56:45Z,3174,0,824,3.0,3.0,0.0
facebookarchive/network-connection-class,https://github.com/facebookarchive/network-connection-class,2015-03-18T02:16:43Z,3170,2,650,2.5,3.0,0.0
yangfuhai/afinal,https://github.com/yangfuhai/afinal,2012-10-17T08:10:00Z,3168,0,6971,2.0,5.0,0.0
zzz40500/GsonFormat,https://github.com/zzz40500/GsonFormat,2014-10-31T14:16:39Z,3165,4,5684,1.0,7.0,0.0
guoguibing/librec,https://github.com/guoguibing/librec,2014-01-09T16:06:11Z,3158,3,30216,6.0,8.0,1.0
Skykai521/StickerCamera,https://github.com/Skykai521/StickerCamera,2015-07-05T14:12:43Z,3158,0,14361,2.0,29.0,0.0
nicolasgramlich/AndEngine,https://github.com/nicolasgramlich/AndEngine,2011-11-22T14:20:11Z,3154,0,33585,2.0,7.0,1.0
bitcoin-wallet/bitcoin-wallet,https://github.com/bitcoin-wallet/bitcoin-wallet,2012-03-31T17:06:47Z,3153,18,18207,4.0,8.0,0.0
Sayi/poi-tl,https://github.com/Sayi/poi-tl,2015-03-20T06:47:52Z,3141,13,22340,4.0,4.0,0.0
danylovolokh/VideoPlayerManager,https://github.com/danylovolokh/VideoPlayerManager,2015-07-09T21:32:15Z,3135,0,4228,3.0,4.0,0.0
hitherejoe/animate,https://github.com/hitherejoe/animate,2015-11-16T15:06:22Z,3129,0,1706,6.0,4.0,1.0
hongyangAndroid/Highlight,https://github.com/hongyangAndroid/Highlight,2015-10-08T15:03:40Z,3126,0,964,2.0,2.0,0.0
java8/Java8InAction,https://github.com/java8/Java8InAction,2013-10-28T23:59:40Z,3120,0,3724,1.0,3.0,0.0
requery/requery,https://github.com/requery/requery,2015-11-14T00:45:31Z,3115,43,23679,3.0,8.0,0.0
Mojang/brigadier,https://github.com/Mojang/brigadier,2014-09-15T08:48:24Z,3091,3,4012,5.0,3.0,0.0
mplushnikov/lombok-intellij-plugin,https://github.com/mplushnikov/lombok-intellij-plugin,2013-10-09T21:49:01Z,3072,116,37084,2.0,12.0,0.0
spring-io/initializr,https://github.com/spring-io/initializr,2013-06-07T16:02:22Z,3070,13,27667,4.0,5.0,1.0
geoserver/geoserver,https://github.com/geoserver/geoserver,2011-11-10T19:56:06Z,3069,26,636651,5.0,68.0,1.0
Marswin/MarsDaemon,https://github.com/Marswin/MarsDaemon,2015-12-25T03:21:41Z,3059,0,1010,2.0,3.0,0.0
gabrielemariotti/RecyclerViewItemAnimators,https://github.com/gabrielemariotti/RecyclerViewItemAnimators,2014-08-22T00:24:43Z,3059,0,2088,3.0,3.0,1.0
keyboardsurfer/Crouton,https://github.com/keyboardsurfer/Crouton,2012-08-03T11:04:36Z,3028,8,1454,5.0,3.0,1.0
jgilfelt/android-viewbadger,https://github.com/jgilfelt/android-viewbadger,2011-09-27T22:50:57Z,3022,0,563,2.0,3.0,0.0
apache/logging-log4j2,https://github.com/apache/logging-log4j2,2013-06-12T07:00:19Z,3022,0,166549,4.0,55.0,1.0
dmytrodanylyk/android-process-button,https://github.com/dmytrodanylyk/android-process-button,2014-05-02T20:39:23Z,3012,1,941,4.5,4.0,1.0
ZieIony/Carbon,https://github.com/ZieIony/Carbon,2015-02-04T23:11:18Z,3009,2,38604,3.0,7.0,1.0
shopizer-ecommerce/shopizer,https://github.com/shopizer-ecommerce/shopizer,2012-11-21T03:42:39Z,3008,18,53577,4.0,6.0,2.0
KeepSafe/dexcount-gradle-plugin,https://github.com/KeepSafe/dexcount-gradle-plugin,2015-06-04T03:33:17Z,3006,21,2472,3.0,4.0,1.0
pedrovgs/DraggablePanel,https://github.com/pedrovgs/DraggablePanel,2014-04-13T11:40:54Z,3001,10,1975,4.0,3.0,1.0
jd-alexander/LikeButton,https://github.com/jd-alexander/LikeButton,2015-12-23T17:49:46Z,3001,14,781,4.5,2.0,1.0
facebookarchive/react-native-fbsdk,https://github.com/facebookarchive/react-native-fbsdk,2015-08-03T17:10:14Z,2996,22,1241,5.5,4.0,1.0
RoaringBitmap/RoaringBitmap,https://github.com/RoaringBitmap/RoaringBitmap,2013-06-17T20:29:23Z,2993,9,71413,5.0,7.0,1.0
yui/yuicompressor,https://github.com/yui/yuicompressor,2008-12-05T19:13:24Z,2993,1,6075,2.0,4.0,8.0
cSploit/android,https://github.com/cSploit/android,2014-10-04T05:53:29Z,2992,33,22657,2.0,9.0,0.0
yusugomori/DeepLearning,https://github.com/yusugomori/DeepLearning,2013-01-01T16:23:53Z,2983,0,1083,4.0,2.0,0.0
lovetuzitong/MultiImageSelector,https://github.com/lovetuzitong/MultiImageSelector,2015-04-08T10:12:50Z,2981,2,1425,3.0,2.0,0.0
ltsopensource/light-task-scheduler,https://github.com/ltsopensource/light-task-scheduler,2014-10-24T12:53:14Z,2973,29,45904,3.0,6.0,0.0
AxonFramework/AxonFramework,https://github.com/AxonFramework/AxonFramework,2011-12-02T16:04:42Z,2971,109,120337,4.0,16.0,0.0
stephanenicolas/robospice,https://github.com/stephanenicolas/robospice,2012-09-19T14:09:37Z,2968,1,14955,4.0,8.0,0.0
jasonross/Nuwa,https://github.com/jasonross/Nuwa,2015-11-11T14:48:23Z,2964,0,130,3.5,2.0,0.0
CrawlScript/WebCollector,https://github.com/CrawlScript/WebCollector,2014-07-12T03:16:12Z,2957,0,4617,3.0,9.0,1.0
bmelnychuk/AndroidTreeView,https://github.com/bmelnychuk/AndroidTreeView,2015-02-11T02:48:05Z,2939,0,2145,4.0,3.0,0.0
bastillion-io/Bastillion,https://github.com/bastillion-io/Bastillion,2013-02-07T23:11:49Z,2930,17,5129,4.0,3.0,3.0
KeepSafe/ReLinker,https://github.com/KeepSafe/ReLinker,2015-10-15T18:23:00Z,2927,12,1224,2.0,4.0,0.0
apache/curator,https://github.com/apache/curator,2014-03-03T08:00:07Z,2919,0,47366,3.0,7.0,0.0
googlesamples/android-vision,https://github.com/googlesamples/android-vision,2015-07-01T21:40:31Z,2915,0,5812,3.0,3.0,0.0
yacy/yacy_search_server,https://github.com/yacy/yacy_search_server,2015-03-22T12:54:20Z,2909,0,154101,4.0,10.0,0.0
googlesamples/google-services,https://github.com/googlesamples/google-services,2015-05-20T22:45:11Z,2903,0,1078,3.0,3.0,0.0
javaee/jersey,https://github.com/javaee/jersey,2012-05-18T11:38:25Z,2897,30,249042,4.0,44.0,0.0
geftimov/android-pathview,https://github.com/geftimov/android-pathview,2015-01-20T15:21:06Z,2897,2,814,5.0,3.0,0.0
iwgang/CountdownView,https://github.com/iwgang/CountdownView,2015-10-12T07:46:28Z,2896,3,4441,3.0,3.0,0.0
OpenHFT/Chronicle-Queue,https://github.com/OpenHFT/Chronicle-Queue,2013-06-02T15:11:33Z,2892,448,26947,4.0,8.0,0.0
sublimehq/Packages,https://github.com/sublimehq/Packages,2015-06-13T04:17:44Z,2892,0,364,1.0,1.0,0.0
fabric8io/kubernetes-client,https://github.com/fabric8io/kubernetes-client,2015-07-09T15:43:13Z,2888,94,233671,24.0,6.0,14.0
udacity/Sunshine-Version-2,https://github.com/udacity/Sunshine-Version-2,2015-03-05T01:48:44Z,2886,0,1692,5.0,3.0,3.5
ManuelPeinado/FadingActionBar,https://github.com/ManuelPeinado/FadingActionBar,2013-05-25T11:50:00Z,2881,0,1197,5.0,2.0,1.0
sockeqwe/AdapterDelegates,https://github.com/sockeqwe/AdapterDelegates,2015-07-29T11:19:56Z,2874,18,2458,3.0,4.0,0.0
fengjundev/Android-Skin-Loader,https://github.com/fengjundev/Android-Skin-Loader,2015-07-01T07:36:33Z,2867,0,3423,3.0,5.0,0.0
jackpal/Android-Terminal-Emulator,https://github.com/jackpal/Android-Terminal-Emulator,2010-09-04T13:48:00Z,2866,0,11869,3.0,6.0,0.0
SpecialCyCi/AndroidResideMenu,https://github.com/SpecialCyCi/AndroidResideMenu,2013-12-14T15:25:49Z,2859,7,701,4.0,3.0,0.0
race604/FlyRefresh,https://github.com/race604/FlyRefresh,2015-05-28T10:19:34Z,2857,2,1696,2.0,3.0,0.5
AdoptOpenJDK/jitwatch,https://github.com/AdoptOpenJDK/jitwatch,2013-09-30T14:18:17Z,2850,11,51176,3.0,4.0,0.0
bethrobson/Head-First-Design-Patterns,https://github.com/bethrobson/Head-First-Design-Patterns,2014-04-28T21:04:55Z,2848,0,9734,1.0,6.0,0.0
oblador/react-native-keychain,https://github.com/oblador/react-native-keychain,2015-05-20T15:33:48Z,2847,30,2483,4.0,5.0,1.0
YahooArchive/anthelion,https://github.com/YahooArchive/anthelion,2015-10-27T00:42:01Z,2846,0,35882,6.0,8.0,1.0
openaphid/android-flip,https://github.com/openaphid/android-flip,2012-05-22T07:48:41Z,2845,0,3686,4.0,5.0,0.0
jiangqqlmj/FastDev4Android,https://github.com/jiangqqlmj/FastDev4Android,2015-10-22T05:22:53Z,2842,4,17740,3.0,31.0,0.0
saulmm/Android-Material-Examples,https://github.com/saulmm/Android-Material-Examples,2014-10-13T16:13:02Z,2842,0,809,3.0,2.0,1.0
googlearchive/android-Camera2Basic,https://github.com/googlearchive/android-Camera2Basic,2014-06-26T15:53:00Z,2840,0,843,2.5,4.0,0.0
w446108264/XhsEmoticonsKeyboard,https://github.com/w446108264/XhsEmoticonsKeyboard,2015-03-06T02:39:34Z,2839,7,5625,3.0,5.0,0.0
wildfly/wildfly,https://github.com/wildfly/wildfly,2010-07-08T20:46:07Z,2838,37,463833,4.0,20.0,0.0
google/binnavi,https://github.com/google/binnavi,2015-08-19T12:20:24Z,2834,3,229006,5.0,34.0,0.0
donglua/PhotoPicker,https://github.com/donglua/PhotoPicker,2015-06-25T16:53:50Z,2832,13,2904,3.0,4.0,0.0
jprante/elasticsearch-jdbc,https://github.com/jprante/elasticsearch-jdbc,2012-06-02T23:17:56Z,2831,19,8057,3.0,4.0,1.0
fesh0r/fernflower,https://github.com/fesh0r/fernflower,2014-10-03T05:00:15Z,2830,0,53595,1.0,5.0,0.0
JoanZapata/android-pdfview,https://github.com/JoanZapata/android-pdfview,2012-11-21T16:19:38Z,2816,0,2833,2.0,4.0,0.0
tyzlmjj/PagerBottomTabStrip,https://github.com/tyzlmjj/PagerBottomTabStrip,2015-08-23T02:35:28Z,2808,12,3171,5.0,5.0,1.0
RobotiumTech/robotium,https://github.com/RobotiumTech/robotium,2009-12-10T12:51:14Z,2807,0,6058,2.0,8.0,0.0
JulienGenoud/android-percent-support-lib-sample,https://github.com/JulienGenoud/android-percent-support-lib-sample,2015-06-26T12:44:38Z,2804,2,307,5.0,3.0,0.0
real-logic/simple-binary-encoding,https://github.com/real-logic/simple-binary-encoding,2013-09-03T09:13:34Z,2801,77,19560,5.0,2.0,2.0
square/flow,https://github.com/square/flow,2013-09-12T22:20:16Z,2789,0,3591,3.0,5.0,0.0
elvishew/xLog,https://github.com/elvishew/xLog,2015-12-17T05:50:05Z,2781,16,4854,1.0,5.0,0.0
Nightonke/CoCoin,https://github.com/Nightonke/CoCoin,2015-10-17T13:50:12Z,2781,0,22198,3.0,13.0,0.0
javamelody/javamelody,https://github.com/javamelody/javamelody,2015-06-21T16:32:48Z,2779,46,50450,3.0,98.0,1.0
EverythingMe/overscroll-decor,https://github.com/EverythingMe/overscroll-decor,2015-11-22T11:44:06Z,2769,0,2312,3.0,4.0,1.0
JakeWharton/scalpel,https://github.com/JakeWharton/scalpel,2014-01-06T17:26:01Z,2767,0,578,2.0,2.0,0.0
airbnb/airpal,https://github.com/airbnb/airpal,2014-05-05T18:51:30Z,2765,0,3952,4.0,4.0,0.0
pedrovgs/Algorithms,https://github.com/pedrovgs/Algorithms,2014-11-09T14:32:33Z,2760,0,5982,3.0,9.0,0.0
arcadefire/nice-spinner,https://github.com/arcadefire/nice-spinner,2015-08-02T17:16:45Z,2757,18,587,3.0,3.0,0.0
spring-projects/spring-data-elasticsearch,https://github.com/spring-projects/spring-data-elasticsearch,2013-04-29T14:27:38Z,2750,78,62208,4.0,6.0,0.0
jlegewie/zotfile,https://github.com/jlegewie/zotfile,2011-12-30T14:47:42Z,2742,32,0,,,
Yalantis/GuillotineMenu-Android,https://github.com/Yalantis/GuillotineMenu-Android,2015-06-15T13:56:21Z,2737,2,407,2.0,2.0,0.5
oguzbilgener/CircularFloatingActionMenu,https://github.com/oguzbilgener/CircularFloatingActionMenu,2014-07-20T20:42:12Z,2735,0,1850,6.0,3.0,3.0
saulmm/CoordinatorBehaviorExample,https://github.com/saulmm/CoordinatorBehaviorExample,2015-08-16T04:14:38Z,2721,0,159,9.5,2.0,8.0
BruceEckel/OnJava8-Examples,https://github.com/BruceEckel/OnJava8-Examples,2015-04-20T22:34:50Z,2720,3,23147,1.0,11.0,0.0
flavioarfaria/KenBurnsView,https://github.com/flavioarfaria/KenBurnsView,2014-03-19T03:10:02Z,2718,4,471,4.0,4.0,1.0
AltBeacon/android-beacon-library,https://github.com/AltBeacon/android-beacon-library,2014-07-28T13:11:19Z,2717,87,11606,4.0,4.0,1.0
jjoe64/GraphView,https://github.com/jjoe64/GraphView,2011-07-04T13:25:41Z,2716,1,4097,2.0,3.0,0.0
EngineHub/WorldEdit,https://github.com/EngineHub/WorldEdit,2010-09-28T08:11:57Z,2711,0,82941,4.0,7.0,1.0
aistrate/AlgorithmsSedgewick,https://github.com/aistrate/AlgorithmsSedgewick,2011-12-10T15:54:55Z,2706,0,16817,4.0,4.0,0.0
chanjarster/weixin-java-tools,https://github.com/chanjarster/weixin-java-tools,2014-08-18T08:11:26Z,2702,21,12000,3.0,5.0,1.0
code-troopers/android-betterpickers,https://github.com/code-troopers/android-betterpickers,2013-03-21T01:45:18Z,2699,16,16930,4.0,18.0,0.0
kabouzeid/Phonograph,https://github.com/kabouzeid/Phonograph,2015-03-05T15:28:53Z,2692,0,21093,5.0,16.0,1.0
500px/500px-android-blur,https://github.com/500px/500px-android-blur,2015-03-13T16:05:30Z,2690,0,235,2.5,2.0,0.0
r0adkll/Slidr,https://github.com/r0adkll/Slidr,2014-08-19T01:32:08Z,2685,5,2487,5.0,3.0,2.0
florent37/ViewAnimator,https://github.com/florent37/ViewAnimator,2015-12-22T15:49:53Z,2684,3,1926,2.0,2.0,0.0
JohnPersano/SuperToasts,https://github.com/JohnPersano/SuperToasts,2013-06-03T00:56:14Z,2683,5,2483,3.0,3.0,0.0
jfeinstein10/JazzyViewPager,https://github.com/jfeinstein10/JazzyViewPager,2013-02-01T04:57:42Z,2681,0,619,1.0,3.0,0.0
spring-projects/spring-loaded,https://github.com/spring-projects/spring-loaded,2012-12-06T23:17:42Z,2677,0,43158,1.0,7.0,0.0
jOOQ/jOOR,https://github.com/jOOQ/jOOR,2011-12-29T17:01:00Z,2675,0,2956,1.0,4.0,0.0
react-native-google-signin/google-signin,https://github.com/react-native-google-signin/google-signin,2015-08-13T06:13:57Z,2672,53,703,3.0,5.0,0.0
gcacace/android-signaturepad,https://github.com/gcacace/android-signaturepad,2014-03-20T12:54:22Z,2657,0,863,2.0,2.0,0.0
siyamed/android-shape-imageview,https://github.com/siyamed/android-shape-imageview,2014-08-31T22:18:23Z,2657,2,2724,5.0,3.0,4.0
SalomonBrys/ANR-WatchDog,https://github.com/SalomonBrys/ANR-WatchDog,2013-07-26T13:29:59Z,2655,1,506,2.0,3.0,0.0
nisrulz/sensey,https://github.com/nisrulz/sensey,2015-11-12T06:58:21Z,2654,13,1933,3.0,2.0,0.0
ata4/disunity,https://github.com/ata4/disunity,2013-07-21T08:09:15Z,2653,15,3847,3.0,6.0,1.0
google/hover,https://github.com/google/hover,2015-12-14T02:43:42Z,2653,0,6176,3.0,5.0,0.0
Todd-Davies/ProgressWheel,https://github.com/Todd-Davies/ProgressWheel,2012-02-04T18:13:30Z,2653,3,499,4.0,2.0,2.0
simple-android-framework/android_design_patterns_analysis,https://github.com/simple-android-framework/android_design_patterns_analysis,2015-02-28T06:18:40Z,2650,0,228,1.0,1.0,0.0
qos-ch/logback,https://github.com/qos-ch/logback,2009-08-20T18:48:24Z,2648,0,52053,3.0,6.0,0.0
zmxv/react-native-sound,https://github.com/zmxv/react-native-sound,2015-10-19T06:22:23Z,2646,15,463,2.0,2.0,0.0
sannies/mp4parser,https://github.com/sannies/mp4parser,2013-09-15T21:37:40Z,2643,13,37091,3.0,13.0,0.0
spotify/docker-maven-plugin,https://github.com/spotify/docker-maven-plugin,2014-06-23T22:33:07Z,2643,0,1859,4.5,3.0,0.0
deano2390/MaterialShowcaseView,https://github.com/deano2390/MaterialShowcaseView,2015-08-05T14:47:59Z,2643,15,2784,3.0,2.0,0.0
Malinskiy/SuperRecyclerView,https://github.com/Malinskiy/SuperRecyclerView,2014-12-11T03:20:17Z,2640,7,2769,2.0,4.0,0.0
chennaione/sugar,https://github.com/chennaione/sugar,2011-08-12T13:44:41Z,2640,6,6284,2.0,3.0,1.0
bingoogolapple/BGABadgeView-Android,https://github.com/bingoogolapple/BGABadgeView-Android,2015-07-07T04:13:57Z,2640,0,1375,3.0,2.0,0.0
qii/weiciyuan,https://github.com/qii/weiciyuan,2012-07-26T14:23:04Z,2637,0,58530,3.0,15.0,0.0
widdix/aws-cf-templates,https://github.com/widdix/aws-cf-templates,2015-10-28T07:47:59Z,2627,152,2716,6.0,5.0,0.0
sqlcipher/android-database-sqlcipher,https://github.com/sqlcipher/android-database-sqlcipher,2011-03-11T00:11:37Z,2614,0,5955,2.5,5.0,1.0
SimonVT/android-menudrawer,https://github.com/SimonVT/android-menudrawer,2012-09-01T13:34:04Z,2614,0,4667,4.0,5.0,0.0
