nameWithOwner,url,createdAt,stargazers,releases,loc,cbo,dit,lcom
pinpoint-apm/pinpoint,https://github.com/pinpoint-apm/pinpoint,2014-10-20T09:27:22Z,12639,52,344764,3.0,20.0,0.0
facebook/stetho,https://github.com/facebook/stetho,2015-01-22T22:34:10Z,12623,13,19224,3.0,21.0,0.0
greenrobot/greenDAO,https://github.com/greenrobot/greenDAO,2011-10-22T16:15:14Z,12561,8,18545,4.0,8.0,1.0
Netflix/zuul,https://github.com/Netflix/zuul,2013-03-13T18:53:57Z,12479,5,19487,4.0,10.0,1.0
apache/druid,https://github.com/apache/druid,2012-10-23T19:08:07Z,12458,53,609647,5.0,164.0,0.0
daimajia/AndroidSwipeLayout,https://github.com/daimajia/AndroidSwipeLayout,2014-08-25T04:09:33Z,12277,18,2770,2.0,3.0,0.0
java-decompiler/jd-gui,https://github.com/java-decompiler/jd-gui,2015-03-25T05:28:41Z,12268,18,19309,3.0,15.0,1.0
daimajia/AndroidViewAnimations,https://github.com/daimajia/AndroidViewAnimations,2014-06-23T03:53:13Z,12244,9,965,2.0,2.0,0.0
sqshq/piggymetrics,https://github.com/sqshq/piggymetrics,2015-03-29T17:56:31Z,12200,2,1881,5.0,2.0,0.0
google/guice,https://github.com/google/guice,2014-05-28T23:18:53Z,11811,15,78717,3.0,43.0,0.0
Netflix/eureka,https://github.com/Netflix/eureka,2012-07-26T22:23:07Z,11730,146,32744,4.0,9.0,0.0
pagehelper/Mybatis-PageHelper,https://github.com/pagehelper/Mybatis-PageHelper,2014-06-09T15:32:30Z,11578,11,7108,6.0,5.0,0.0
codecentric/spring-boot-admin,https://github.com/codecentric/spring-boot-admin,2014-07-25T11:39:13Z,11561,99,13295,6.0,5.0,0.0
neo4j/neo4j,https://github.com/neo4j/neo4j,2012-11-12T08:46:15Z,11168,72,551514,4.0,58.0,1.0
androidannotations/androidannotations,https://github.com/androidannotations/androidannotations,2012-01-06T08:48:03Z,11132,0,28800,4.0,10.0,1.0
jfeinstein10/SlidingMenu,https://github.com/jfeinstein10/SlidingMenu,2012-06-30T05:14:23Z,11132,0,3085,3.0,7.0,0.0
apache/zookeeper,https://github.com/apache/zookeeper,2009-03-27T15:41:56Z,11121,0,117032,3.0,96.0,0.0
permissions-dispatcher/PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,2015-08-15T21:41:05Z,11100,40,3184,0.0,4.0,3.0
redis/jedis,https://github.com/redis/jedis,2010-06-11T13:04:43Z,10954,74,61143,3.0,7.0,1.0
DuGuQiuBai/Java,https://github.com/DuGuQiuBai/Java,2015-11-25T07:30:08Z,10843,0,10840,0.0,6.0,0.0
