nameWithOwner,url,createdAt,stargazers,releases
Netflix/SimianArmy,https://github.com/Netflix/SimianArmy,2012-07-06T22:00:05Z,7927,4
HannahMitt/HomeMirror,https://github.com/HannahMitt/HomeMirror,2015-08-23T03:20:08Z,7889,0
ChrisRM/material-theme-jetbrains,https://github.com/ChrisRM/material-theme-jetbrains,2015-09-23T07:15:04Z,7886,17
JakeWharton/hugo,https://github.com/JakeWharton/hugo,2013-11-25T09:16:40Z,7877,0
apache/cassandra,https://github.com/apache/cassandra,2009-05-21T02:10:09Z,7855,0
apache/shardingsphere-elasticjob,https://github.com/apache/shardingsphere-elasticjob,2015-09-11T11:28:52Z,7826,28
json-path/JsonPath,https://github.com/json-path/JsonPath,2011-01-24T13:19:19Z,7725,8
trello/RxLifecycle,https://github.com/trello/RxLifecycle,2015-07-20T13:32:23Z,7713,22
dropwizard/metrics,https://github.com/dropwizard/metrics,2010-02-26T19:44:42Z,7699,104
java-native-access/jna,https://github.com/java-native-access/jna,2011-04-29T13:30:29Z,7689,0
seven332/EhViewer,https://github.com/seven332/EhViewer,2014-05-14T12:03:52Z,7674,97
plantuml/plantuml,https://github.com/plantuml/plantuml,2010-11-04T15:55:50Z,7667,26
SonarSource/sonarqube,https://github.com/SonarSource/sonarqube,2011-01-05T11:05:17Z,7576,36
alibaba/otter,https://github.com/alibaba/otter,2013-08-09T09:31:22Z,7566,10
kaushikgopal/RxJava-Android-Samples,https://github.com/kaushikgopal/RxJava-Android-Samples,2014-07-23T05:13:52Z,7548,0
spring-projects/spring-security,https://github.com/spring-projects/spring-security,2012-01-10T21:50:57Z,7514,132
davemorrissey/subsampling-scale-image-view,https://github.com/davemorrissey/subsampling-scale-image-view,2013-08-26T16:45:25Z,7502,21
lecho/hellocharts-android,https://github.com/lecho/hellocharts-android,2014-10-12T09:12:37Z,7370,14
datahub-project/datahub,https://github.com/datahub-project/datahub,2015-11-18T05:47:40Z,7363,72
koush/AndroidAsync,https://github.com/koush/AndroidAsync,2012-08-24T07:27:04Z,7350,0
